Machine,Utilisation,Day
X1,46.237241206878906,2021-12-02 12:52:32.149203
X2,53.06212012053198,2021-12-02 12:52:32.164830
X3,82.09387219377885,2021-12-02 12:52:32.166332
X5,65.07058877813589,2021-12-02 12:52:32.167445
X4,46.75489589408251,2021-12-02 12:52:32.167445
X6,69.91829669305443,2021-12-02 12:52:32.168543
X8,72.30627727079172,2021-12-02 12:52:32.169545
X7,77.16252774572766,2021-12-02 12:52:32.169545
X10,70.41419921619087,2021-12-02 12:52:32.169545
X9,67.53283665851826,2021-12-02 12:52:32.169545
X1,83.57224005446032,2021-12-03 12:52:32.149203
X2,58.00807859654776,2021-12-03 12:52:32.164830
X3,89.93187611726246,2021-12-03 12:52:32.166332
X5,84.14284916011945,2021-12-03 12:52:32.167445
X4,25.93502391604379,2021-12-03 12:52:32.167445
X6,71.72999954761217,2021-12-03 12:52:32.168543
X10,71.94406777251524,2021-12-03 12:52:32.169545
X9,71.58207791512498,2021-12-03 12:52:32.169545
X8,80.84074479926181,2021-12-03 12:52:32.169545
X7,52.98925951434706,2021-12-03 12:52:32.169545
X1,86.20338840558338,2021-12-04 12:52:32.149203
X2,29.574380508209643,2021-12-04 12:52:32.164830
X3,62.10913556143675,2021-12-04 12:52:32.166332
X4,63.63062854504419,2021-12-04 12:52:32.167445
X5,55.41422654784056,2021-12-04 12:52:32.167445
X6,85.74725968694082,2021-12-04 12:52:32.168543
X10,34.6353058517563,2021-12-04 12:52:32.169545
X7,74.45684201166904,2021-12-04 12:52:32.169545
X8,20.685137042368087,2021-12-04 12:52:32.169545
X9,42.97320289248382,2021-12-04 12:52:32.169545
X1,44.359392441847135,2021-12-05 12:52:32.149203
X2,46.06860749094257,2021-12-05 12:52:32.164830
X3,27.38941423303403,2021-12-05 12:52:32.166332
X5,75.9583157042083,2021-12-05 12:52:32.167445
X4,70.99717415174592,2021-12-05 12:52:32.167445
X6,83.32899775655663,2021-12-05 12:52:32.168543
X9,39.861678878332,2021-12-05 12:52:32.169545
X10,84.91069125515187,2021-12-05 12:52:32.169545
X7,81.6371550981427,2021-12-05 12:52:32.169545
X8,33.529751061281225,2021-12-05 12:52:32.169545
X1,69.14576105465812,2021-12-06 12:52:32.149203
X2,58.321349128820835,2021-12-06 12:52:32.164830
X3,29.897871697777838,2021-12-06 12:52:32.166332
X5,53.13422561272736,2021-12-06 12:52:32.167445
X4,74.31638630745718,2021-12-06 12:52:32.167445
X6,80.86769065839144,2021-12-06 12:52:32.168543
X7,70.5394118296156,2021-12-06 12:52:32.169545
X9,54.612285536696334,2021-12-06 12:52:32.169545
X8,25.80301119840113,2021-12-06 12:52:32.169545
X10,81.52472956877881,2021-12-06 12:52:32.169545
X1,20.822888275076007,2021-12-07 12:52:32.149203
X2,76.06927177563908,2021-12-07 12:52:32.164830
X3,36.165274963878886,2021-12-07 12:52:32.166332
X5,22.245108261973094,2021-12-07 12:52:32.167445
X4,57.75747280182788,2021-12-07 12:52:32.167445
X6,88.34156041831913,2021-12-07 12:52:32.168543
X9,76.44903472065602,2021-12-07 12:52:32.169545
X10,64.36610645213443,2021-12-07 12:52:32.169545
X8,31.33679509005476,2021-12-07 12:52:32.169545
X7,72.93934033572451,2021-12-07 12:52:32.169545
X1,75.7709379964459,2021-12-08 12:52:32.149203
X2,51.04513330760906,2021-12-08 12:52:32.164830
X3,32.38027258050744,2021-12-08 12:52:32.166332
X4,88.08855228908222,2021-12-08 12:52:32.167445
X5,51.49390470333563,2021-12-08 12:52:32.167445
X6,40.5674203690139,2021-12-08 12:52:32.168543
X9,28.826194993028395,2021-12-08 12:52:32.169545
X8,37.57034814396022,2021-12-08 12:52:32.169545
X7,56.23982730735505,2021-12-08 12:52:32.169545
X10,28.4950351314372,2021-12-08 12:52:32.169545
X1,38.090650106672655,2021-12-09 12:52:32.149203
X2,79.93682112110088,2021-12-09 12:52:32.164830
X3,56.508019158884366,2021-12-09 12:52:32.166332
X5,59.35260671461474,2021-12-09 12:52:32.167445
X4,39.45429468268213,2021-12-09 12:52:32.167445
X6,65.49313314532029,2021-12-09 12:52:32.168543
X10,75.62145395990132,2021-12-09 12:52:32.169545
X7,34.43770963511167,2021-12-09 12:52:32.169545
X8,56.54888915383512,2021-12-09 12:52:32.169545
X9,64.71225269828119,2021-12-09 12:52:32.169545
X1,76.70786975428251,2021-12-10 12:52:32.149203
X2,45.81050335657981,2021-12-10 12:52:32.164830
X3,58.89062129893861,2021-12-10 12:52:32.166332
X4,59.453932609621674,2021-12-10 12:52:32.167445
X5,81.0341898606146,2021-12-10 12:52:32.167445
X6,46.98044447601079,2021-12-10 12:52:32.168543
X7,48.36302336265314,2021-12-10 12:52:32.169545
X9,55.49141404136929,2021-12-10 12:52:32.169545
X10,75.3372338914275,2021-12-10 12:52:32.169545
X8,86.07093594983758,2021-12-10 12:52:32.169545
X1,47.27872074187972,2021-12-11 12:52:32.149203
X2,82.052206380407,2021-12-11 12:52:32.164830
X3,69.50977967808817,2021-12-11 12:52:32.166332
X5,22.420342720763962,2021-12-11 12:52:32.167445
X4,39.674550268511304,2021-12-11 12:52:32.167445
X6,72.85193788226891,2021-12-11 12:52:32.168543
X9,44.177017419964734,2021-12-11 12:52:32.169545
X7,33.42032496899925,2021-12-11 12:52:32.169545
X8,40.4379213098733,2021-12-11 12:52:32.169545
X10,72.3225123649056,2021-12-11 12:52:32.169545
X1,74.81492379173744,2021-12-12 12:52:32.149203
X2,22.39703354608767,2021-12-12 12:52:32.164830
X3,20.092015753270115,2021-12-12 12:52:32.166332
X4,84.64196525575254,2021-12-12 12:52:32.167445
X5,50.78664364429321,2021-12-12 12:52:32.167445
X6,74.93326507529659,2021-12-12 12:52:32.168543
X7,73.96342915189399,2021-12-12 12:52:32.169545
X9,52.57882317748534,2021-12-12 12:52:32.169545
X8,71.75363837918317,2021-12-12 12:52:32.169545
X10,72.41114054787442,2021-12-12 12:52:32.169545
X1,57.86054450335183,2021-12-13 12:52:32.149203
X2,68.81233989832265,2021-12-13 12:52:32.164830
X3,50.57400994972292,2021-12-13 12:52:32.166332
X4,52.94492603180749,2021-12-13 12:52:32.167445
X5,70.73673104046082,2021-12-13 12:52:32.167445
X6,87.74275135710506,2021-12-13 12:52:32.168543
X10,33.6554277092725,2021-12-13 12:52:32.169545
X9,29.258926745218815,2021-12-13 12:52:32.169545
X8,20.494821608946935,2021-12-13 12:52:32.169545
X7,72.19664299601007,2021-12-13 12:52:32.169545
X1,24.653433081494068,2021-12-14 12:52:32.149203
X2,85.48607247205751,2021-12-14 12:52:32.164830
X3,28.041215816055434,2021-12-14 12:52:32.166332
X5,30.178536549825417,2021-12-14 12:52:32.167445
X4,47.058286195813366,2021-12-14 12:52:32.167445
X6,20.299881582740735,2021-12-14 12:52:32.168543
X8,46.975296306293856,2021-12-14 12:52:32.169545
X7,52.59506746889777,2021-12-14 12:52:32.169545
X9,83.6146775362844,2021-12-14 12:52:32.169545
X10,69.5956875326865,2021-12-14 12:52:32.169545
X1,76.6561618101785,2021-12-15 12:52:32.149203
X2,89.44712611191436,2021-12-15 12:52:32.164830
X3,73.51961785658406,2021-12-15 12:52:32.166332
X4,46.590780365420194,2021-12-15 12:52:32.167445
X5,72.55138625431374,2021-12-15 12:52:32.167445
X6,88.08479919224868,2021-12-15 12:52:32.168543
X7,75.51848045091529,2021-12-15 12:52:32.169545
X8,43.99751936255869,2021-12-15 12:52:32.169545
X10,49.07152865373837,2021-12-15 12:52:32.169545
X9,58.77198383554436,2021-12-15 12:52:32.169545
X1,49.445193131585555,2021-12-16 12:52:32.149203
X2,63.2987473046748,2021-12-16 12:52:32.164830
X3,66.16574322030021,2021-12-16 12:52:32.166332
X4,85.10492650236381,2021-12-16 12:52:32.167445
X5,37.75678702000477,2021-12-16 12:52:32.167445
X6,55.8822220832907,2021-12-16 12:52:32.168543
X9,75.06061957379383,2021-12-16 12:52:32.169545
X8,84.03197069375804,2021-12-16 12:52:32.169545
X7,74.56466737775602,2021-12-16 12:52:32.169545
X10,24.253258495013196,2021-12-16 12:52:32.169545
X1,67.11097896344594,2021-12-17 12:52:32.149203
X2,60.231242848483625,2021-12-17 12:52:32.164830
X3,22.63253892586107,2021-12-17 12:52:32.166332
X4,90.31612449471767,2021-12-17 12:52:32.167445
X5,87.35912174484652,2021-12-17 12:52:32.167445
X6,40.033063001834016,2021-12-17 12:52:32.168543
X10,54.19075529104781,2021-12-17 12:52:32.169545
X7,71.41939075253507,2021-12-17 12:52:32.169545
X8,77.95327318568012,2021-12-17 12:52:32.169545
X9,35.23443726776813,2021-12-17 12:52:32.169545
X1,75.9102564116416,2021-12-18 12:52:32.149203
X2,25.381182680691655,2021-12-18 12:52:32.164830
X3,31.781368488557447,2021-12-18 12:52:32.166332
X5,40.86241683601998,2021-12-18 12:52:32.167445
X4,49.50064256704273,2021-12-18 12:52:32.167445
X6,82.96526997567983,2021-12-18 12:52:32.168543
X8,53.57578365957659,2021-12-18 12:52:32.169545
X9,44.61483467236532,2021-12-18 12:52:32.169545
X10,26.41565883917893,2021-12-18 12:52:32.169545
X7,71.39558178192397,2021-12-18 12:52:32.169545
X1,59.96400477002665,2021-12-19 12:52:32.149203
X2,48.34874338112304,2021-12-19 12:52:32.164830
X3,61.85265514798738,2021-12-19 12:52:32.166332
X4,85.60600303241564,2021-12-19 12:52:32.167445
X5,21.078746611391484,2021-12-19 12:52:32.167445
X6,73.51471920388262,2021-12-19 12:52:32.168543
X8,35.01024018862059,2021-12-19 12:52:32.169545
X7,54.66643534546136,2021-12-19 12:52:32.169545
X10,73.76827283807954,2021-12-19 12:52:32.169545
X9,59.79242223920189,2021-12-19 12:52:32.169545
X1,38.3625113003377,2021-12-20 12:52:32.149203
X2,64.67271611441656,2021-12-20 12:52:32.164830
X3,53.35383568244634,2021-12-20 12:52:32.166332
X5,84.58855304451349,2021-12-20 12:52:32.167445
X4,84.33418524004574,2021-12-20 12:52:32.167445
X6,73.44063208756299,2021-12-20 12:52:32.168543
X10,90.34279350812834,2021-12-20 12:52:32.169545
X8,30.222111583979768,2021-12-20 12:52:32.169545
X9,76.57400219531445,2021-12-20 12:52:32.169545
X7,29.30159783073983,2021-12-20 12:52:32.169545
X1,55.32635295890008,2021-12-21 12:52:32.149203
X2,72.9168764852848,2021-12-21 12:52:32.164830
